Utterance,Emotion
Joey.,Neutral
It may not be a bed of roses.,Joyful
Rachel.,Neutral
And you're no friend to those with noses.,Joyful
Oh Drake.,Neutral
"I'm sorry I'm late, what happened?",Scared
"We, we just wanna see the end.",Neutral
I want you Drake.,Powerful
What?,Neutral
So what happens next?,Neutral
God that is good TV.,Joyful
"Phoebs, play with meeee.",Joyful
Why don't you play with your roommate?,Neutral
We don't need to remedy that.,Scared
"Oh yeah, it'll be fun.",Joyful
What was that?,Scared
"Yeah alright, that sounds alright.",Neutral
That was so lame.,Sad
"I know, yeah. Ok, talk to him.",Powerful
Well it's not Sean Penn.,Joyful
"Phoebe's got another job, right?",Neutral
Great set tonight Phoebs.,Peaceful
I know.,Neutral
"Well, we should probably get going.",Neutral
"I don't know, I don't have my jammies.",Neutral
"Well, maybe you don't need them.",Neutral
"My baby sister, ladies and gentlemen.",Neutral
"Shut up, I'm happy.",Joyful
"Oh, thank you Phoebs. That's very sweet.",Joyful
Ok.,Neutral
"Not a lot, Phoebe's kidding, Phoebe's crazy.",Sad
Phoebe's dead.,Sad
Hi.,Neutral
Hi.,Neutral
I'm looking for Eddie Minowick.,Neutral
Thanks.,Neutral
"Oh, oh, c'mon in.",Neutral
I'm Tilly.,Neutral
Oh.,Neutral
He's kind of intense huh?,Powerful
A little what?,Neutral
Hello Tilly.,Neutral
"Well, ok then. I'm gonna go. Bye.",Neutral
Bye-bye.,Neutral
Bye.,Neutral
"So, we gettin' a fish?",Neutral
You had sex with her didn't you?,Mad
"Ooh, I look good.",Joyful
"Uhh, I don't know, I just bring the scripts.",Neutral
Right. Could you sign this?,Neutral
"No. No way, I'm not signing that.",Mad
How can they do this to me?,Mad
"Er, uh, I'm just gonna go. Sorry.",Scared
G'night.,Neutral
Night Richard. Good luck Mon.,Peaceful
Two.,Neutral
Uhhhooo.,Scared
"Well, there's you.",Sad
"Oh yes, the weenie from Torrini.",Mad
Really?,Neutral
Where's Buddy?,Neutral
Buddy?,Scared
"My fish, Buddy.",Neutral
C'mon.,Neutral
Hey Eddie. Daahh!! What're you doin' here?,Scared
"Nothin' roomie, just watchin' you sleep.",Neutral
Why?,Scared
"Makes me feel um, peaceful, heh-heh, please.",Neutral
I can't sleep now.,Neutral
You want me to sing?,Neutral
Hannibal Lecter...better roommate than you.,Mad
I didn't realize that.,Neutral
Yeah.,Neutral
GET OUT NOW!!,Mad
"Ok, you really want me out?",Sad
Yes please.,Mad
I want you out.,Neutral
"No no no, I wanna hear it from your lips.",Neutral
Where did you hear it from before?,Neutral
I heard that.,Neutral
Don't worry about it already. Things happen.,Neutral
"So, you're not mad at me for getting fired and everything?",Scared
"Joey, look at me, look at me. Do I have lipstick on my teeth?",Neutral
"No, can we get back to me?",Scared
"Look honey, people get fired left and right in this business. I already got you an audition for Another World.",Powerful
Alright. Cab driver number two?,Neutral
You're welcome.,Powerful
But I was Dr. Drake Remoray. How can I go from bein' a neurosurgeon to drivin' a cab?,Scared
"Things change, roll with em.",Neutral
"But this is a two line part, it's like takin' a step backwards. I'm not gonna do this.",Neutral
"Joey, I'm gonna tell you the same thing I told Al Minser and his pyramid of dogs. Take any job you can get and don't make on the floor.",Powerful
I'm sorry. See ya.,Neutral
"Oh, God, oh, God, I mean it's just so.",Joyful
Isn't it.,Neutral
"Uhh, I mean this is like reading about my own life. I mean this book could have been called 'Be Your Own Windkeeper Rachel'.",Powerful
Hey you guys.,Neutral
Hey.,Neutral
"Uh, sweetie we've gotta go.",Scared
NO!,Mad
No?,Scared
"No, why do we always have to do everything according to your time table?",Mad
Actually it's the movie theatre that has the time schedule. So you don't miss the beginning.,Peaceful
"No, see this isn't about the movie theatre, this is about you stealing my wind.",Mad
You go girl. I can't pull that off can I?,Powerful
"Excuse me, your, your, your wind?",Mad
"Yes, my wind. How do you expect me to grow if you won't let me blow?",Powerful
"Ok, I just, I just really need to be with myself right now. I'm sorry.",Peaceful
"Um-um, um-um.",Neutral
"You're right, I don't have to apologize. Sorry. Damnit!",Mad
Hey pal.,Neutral
Ahhhh-gaaaahhh. Eddie what're you still doin' here?,Mad
"Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!",Joyful
"Look Eddie, aren't you forgetting anything?",Neutral
"Maybe 'cause the last one was made by Pepperidge Farm. Look Eddie, isn't there something else you're supposed to be doing right now?",Mad
"Well, not unless it's got something to do with dehydrating my man because right now I'm a dehydrating maniac!",Joyful
"Ah-ah-ah, you know what that is?",Joyful
Your last roommate's kidney?,Neutral
That's a tomato. This one definitely goes in the display.,Neutral
"Hey Gunther, let me get a lemonade to go.",Neutral
Lemonade? You ok man?,Scared
"Oh, that's too bad. How'd they do it?",Neutral
I fell down an elevator shaft.,Sad
That sucks. I was buried in an avalanche.,Sad
What?,Scared
I used to be Bryce on All My Children.,Neutral
Daaahhhh!,Joyful
Aaahhhhhhh! Aaahhhh!,Scared
"Why must everybody watch me sleep? There'll be no more watching me sleep, no more watching.",Mad
I wa-,Neutral
Uuuh.,Neutral
"Get out. Get out, get out, get out, get out, get out, get out.",Mad
What?,Sad
"You, you want, you want me to move out?",Sad
Uh-huh.,Mad
"This is not out of the blue, this is smack dab in the middle of the blue.",Mad
You want some help.,Mad
No help required Chico.,Scared
"All the way to the airport huh? You know that's over 30 miles, that's gonna cost you about so bucks.",Neutral
"Excuse me, that's 50 bucks.",Mad
What?,Neutral
Five oh dollars.,Powerful
That's great.,Mad
"Ok, listen, thanks for coming in.",Powerful
"Ok, question number 28, have you ever allowed a lighning bearer to take your wind? I would have to say no.",Peaceful
And I would have to say pah-huh.,Peaceful
What?,Scared
Do you not remember the puppet guy?,Scared
Yeah you like totally let him wash his feet in the pool of your inner power.,Joyful
And his puppet too.,Joyful
"Yeah ok, well at least I didn't let some guy into the forest of my righteous truth on the first date.",Mad
Who?,Scared
Paul.,Neutral
Oh.,Peaceful
"Woah, woah, woah, let's go back to 29.",Neutral
"Not uh, not to my recollection.",Neutral
Only 'cause you took up half the circle.,Powerful
Listen to you two. It's so sad. Looks like I'm gonna be going to the goddess meetings alone.,Sad
Well not when they find out you slept with Jason Hurley an hour after he broke up with Monica.,Peaceful
One hour? You are such a leaf blower.,Mad
May I help you?,Neutral
Why doesn't my key work and what's all my stuff doin' downstairs?,Mad
"Well, I'm, I'm sorry... Ahhh. Have we met?",Scared
"It's Eddie you freak, your roommate.",Mad
"I, I'm sorry, I uh I already have a roommate.",Scared
Hello.,Neutral
"Yeah, he's lived here for years, I don't, I don't know what you're talking about man.",Scared
"No he, he moved out and I moved in.",Mad
"Well I, I think we'd remember something like that.",Neutral
I know I would.,Neutral
Hey no problem.,Neutral
Welcome home man.,Joyful
A little foos?,Neutral
Absolutely.,Joyful
What happened to the foosball?,Neutral
Ah that's a cantelope.,Neutral
"Hey look, are we gonna have to bring this out every time Ross comes over?",Mad
He paid a lot of money for it.,Powerful
"Well, I had a whole ceramic zoo thing goin' over there but now, without the other ones, it just looks tacky.",Sad
"Hey Monica, why are we watchin' the business channel?",Scared
"Ok honey, you really need a job.",Neutral
"Mon, speaking of which, dad says he knows someone you can call for an interview.",Neutral
Really.,Scared
"Ok, right there. That, that's the third sign today. Right there.",Scared
"On behalf of everyone, I'd just like to say behuh.",Neutral
"No, 'cause you just said dad and everywhere I go today I keep getting signs telling me to go see my father. Like when I was walking over here and I passed a buffet...which is my father's last name.",Powerful
Ahh.,Neutral
And they were serving franks which is his first name minus the s at the end. And there was a rotisserie with spinning chicken.,Scared
His indian name?,Scared
No because I chickened out the last time when I tried to meet him. So I mean coincidences? I don't think so.,Mad
Freakish.,Neutral
Wow.,Joyful
Freaky.,Scared
"Weird, weird.",Scared
"Ok, so uh, who wants the last hamburger?",Joyful
"Oh, alright, that's it, now I have to go see him.",Scared
Why?,Scared
"Hamburger. McDonald's. Old MacDonald had a farm, my dad is a pharmacist.",Neutral
"Man, I am so beat.",Neutral
Oh yeah.,Neutral
"Hey, you just wanna forget about raquetball and hang out here?",Peaceful
Yeah alright.,Neutral
Hey you're in our seats.,Mad
"Oh, sorry we didn't know.",Scared
"Hey, we were sitting there.",Mad
"Ok, there is one more way to say it, who knows it?",Mad
Is that supposed to be funny?,Mad
"No actually, I was just going for colorful.",Scared
What's with this guy?,Mad
What's with you?,Mad
"Uh, nothing, nothing's with him. Enjoy your coffee.",Scared
What just happened?,Mad
"I just took your hat. See, I can be funny too. My, my joke is that I, I took your hat.",Mad
"That, that is funny. Can I have it back?",Scared
No.,Mad
No?,Mad
No.,Mad
"Ok, ok, you know what? I think you're very funny. Kudos on that hat joke. But, come on guy just, just give him back the hat.",Mad
Why should we?,Mad
"Because it's a special hat. See he bought it 'cause he was feeling really down one day so he got the hat to cheer himself up, ya know. Now Chandler...",Peaceful
"Stop talking, stop talking now. Let me just get this straight. You're actually stealing my hat?",Mad
You got a problem with that?,Mad
"No, just wanna make sure we're on the same page.",Scared
"See, didn't I tell ya these pillows would be a good idea?",Powerful
"Oh God, here we go. For the first time in my life I'm gonna say 'Hi birthfather'.",Scared
"We love you, we're here for you.",Peaceful
"Yeah good luck, good luck.",Peaceful
Thanks.,Powerful
"Hey Rach, you uh, you want some sandwich?",Peaceful
"Ohh, what is in that?",Neutral
"Olive loaf and ham spread, no mayo.",Neutral
"No no, 'cause mayo, that would make it gross.",Neutral
"Hey, hey, no, oh oh.",Scared
Run Phoebe run.,Scared
Are you kidding me?,Mad
Well why don't you just reach out and take his trampoline.,Neutral
"Ok, here, I know what we can do.",Neutral
"Hey, hey, hey no.",Mad
"Well if he's not gonna eat it, I will.",Neutral
Are you crazy?,Scared
"Phoebs, he's just a little dog. Ahhh.",Scared
"Hey Phoeb's, I think you're good to go.",Neutral
"Yeah, I don't know.",Sad
What's the matter?,Scared
"Yeah Phoebe, I completely understand.",Peaceful
"Yeah, whatever you need. Hey, you wanna go home?",Peaceful
"Ok, thanks. Sorry, again",Sad
What was that?,Scared
"Uhh, I'm guessing the threshold's clear now.",Scared
Your cappucino sir.,Neutral
Thank you.,Neutral
Absolutely.,Joyful
How come it's not mixing with the water?,Scared
Ok.,Neutral
No.,Powerful
No?,Scared
"Alright, hang on a second there Custer.",Neutral
"Yeah, sure.",Neutral
By someone besides Monica?,Scared
"Well, couldn't we just lose our virginities again? Ya know, because I think actually mine's growing back.",Joyful
I need to borrow a hundred bucks.,Scared
What?,Scared
For what?,Scared
I've gotta get back in the game.,Scared
Oh no.,Sad
"Hey, I've come to terms with it, you have to too.",Neutral
"Ok. Look uhh, Mon I'm, I'm really sorry.",Scared
"Yeah, yeah, yeah, where are we on the hundred bucks?",Neutral
"I, I don't have it.",Scared
Nobody does honey.,Sad
"God, that was, that was amazing, that was incredible. You guys, you guys kicked butt.",Joyful
"Us, what about you guys? Man you really, bing, gave it to old Mr. Clean back there. He was a big guy.",Joyful
Yeah he was wasn't he.,Neutral
"Yeah, I wouldn't know having missed everything.",Sad
Don't do that to yourself. Any one of us could have tripped over that little girls jump-rope.,Scared
"So, listen guys, are we uh, are we ok here?",Scared
We're ok.,Neutral
Alright.,Neutral
"Ok so, can I have my hat back?",Joyful
No.,Mad
Huh.,Neutral
Look at her.,Neutral
Hi Monica.,Neutral
"He-he-he, how's it goin'?",Joyful
Hey nice boobs.,Joyful
"Guys guys, check this out.",Joyful
Excellent.,Neutral
Ohhh.,Mad
What?,Neutral
Question. Why do we always have to have parties where you poach things?,Neutral
You wanna be in charge of the food committee?,Scared
Question two. Why do we always have to have parties with committees?,Neutral
Really. Why can't we just get some pizzas and get some beers and have fun?,Neutral
Yeah.,Neutral
"Yeah, I agree. Ya know, I think fancy parties are only fun if you're fancy on the inside and I'm just not sure we are.",Neutral
"Alright. If you guys don't want it to be special, fine. You can throw any kind of party you want.",Mad
"Joey they're not real. I start miles beneath the surface of these things, ok, they're fake. See honk honk.",Mad
"Wow, it's, it's like porno for clowns.",Joyful
"I talked to Rachel's sisters, neither of them can come.",Neutral
"Ok, um so, I still have to invite Dillon and Emma and Shannon Cooper.",Neutral
"Woah, woah, woah, uh, no Shannon Cooper.",Powerful
Why not her?,Neutral
"Cause she uh, she steals stuff.",Neutral
Or maybe she doesn't steal stuff and Joey just slept with her and never called her back.,Mad
Joey that is horriable.,Mad
"Hey I liked her, alright. Maybe, maybe too much. I don't know I guess I just got scared.",Scared
"I'm sorry, I didn't know.",Sad
"I didn't think anyone'd buy that, ok.",Neutral
"Hi honey, how did it go?",Joyful
"Agh, it was the graduation from hell.",Mad
So what happened?,Neutral
"Ok, so I guess we don't invite her parents.",Neutral
"Well, how bout just her mom?",Neutral
Why her mom?,Scared
Cause I already invited her.,Neutral
"Ooh, ooh, did you ask Stacy Roth?",Neutral
"Oh no, can't invite her. She also steals.",Scared
"Ok, ok, you can be shirts and I'll be skins. I'll be skins. Hey, how you holdin' up there, tiger? Oh, sorry, when my parents were getting divorced I got a lot of tigers. Got a lot of champs, chiefs, sports, I even got a governor.",Joyful
"This is it, isn't it? I mean, this is what my life is gonna be like. My mom there, my dad there. Thanksgiving, Christmas. She gets the house, he's in some condo my sister's gonna decorate with wicker. Oh, Chandler how did you get through this?",Sad
"Well, I relied on a carefully regimented program of denial and, and wetting the bed.",Neutral
"Ya know, I just, so weird. I mean I was in there just listening to them bitch about each other and all I kept thinking about was the fourth of July.",Sad
Becasue it reminded you of the way our forefathers used to bitch at each other?,Neutral
"I, I know.",Peaceful
"Ok, thanks for coming, I hope you guys had fun.",Peaceful
"Alright, Monica dear, I'm gonna hit the road. Now I've left my 10 verbs on the table. And you be sure and send me that finished poem.",Peaceful
Ok will do. So glad you came.,Joyful
I think I saw Rachel out in the hall.,Neutral
"Ok, let me go check. Your mom want's to say goodbye.",Neutral
Oh ok.,Neutral
Happy birthday sweetie.,Joyful
Ok.,Powerful
"Ahh, you drive safe.",Peaceful
"Ross, what're you doing.",Neutral
I'm getting ready for the water skiing. How are you doing?,Peaceful
"Well, uh, Dr. Greene, where are you going?",Scared
To get my coat.,Neutral
No no no.,Scared
"Alright, alright, I can get my own coat.",Powerful
"Sorry, we're on a major flan high.",Joyful
"I have to be heading to my chateau, thank you.",Powerful
"Oh all right, then I guess we're going back into the hallway.",Scared
"Thanks for coming Mrs. Greene. Well, ok, you take care.",Peaceful
"Oh, you kids Well, this is the best party I've been to in years.",Joyful
Thank you.,Peaceful
"Ok everybody, it's time for flan.",Powerful
"Yup, get ready for the gelatenous fun.",Joyful
Kinda looks like that stuff you get when you get a bad infection.,Neutral
"Ok, that's enough.",Neutral
"Ok Rachel, make a special flan wish.",Neutral
"Ok, I've got one. Wow, those things almost never come true.",Joyful
"Hey Joey, how'd the audition go?",Neutral
Incredible! I met the director this time and you'll never believe who it was.,Joyful
Who?,Neutral
All right. I'll give you one hint. Warren Beatty.,Neutral
Wow!,Joyful
"Yeah, there's just one thing that might be kind've a problem. See, I, uh, had to kiss this guy.",Scared
'Cause he was just so darn cute.,Joyful
"No, as part of the audition. See, I'm up for this part of this guy, who the main guy kisses.",Neutral
"Well, hey. You're an actor, I say you just suck it up and do it. Or you just do it.",Peaceful
"I did do it, I'm a professional.",Peaceful
Then what's the problem?,Mad
"See after the scene, Mr. Beatty comes up to me and says 'good actor, bad kisser'. Can you believe that, me not a good kisser, that's like, like Mother Theresa, not a good mother.",Mad
"Well, come on, who cares what that guy thinks. What does Warren Beatty know about kissing Ooh.",Peaceful
"Hey, what did your agent say?",Neutral
"Yep, this kiss thing is defiantly a problem, Mr. Beatty wants to see it again on Monday. Man, I gotta figure out what I'm doing wrong. Oh, okay, one of you girls come over here and kiss me.",Sad
"What, forget it!",Mad
"Yeah, right.",Mad
"Come on, I need your help here.",Sad
"All right. I'll do it, I kissed him before I can do it again.",Joyful
"You see this, this is a friend.",Neutral
"Uh-huh, let's go. Oh, wait I have gum. Okay. Good, very good, firm but tender. I'd recommend you to a friend.",Joyful
Then I don't know what it is. What's the problem?,Sad
"Yeah, that makes sense.",Joyful
Over my dead body!,Mad
And I'll be using his dead body as a shield.,Neutral
"Where's Benny? There he is! Where's Benny, there he is.",Joyful
"Awww! You know that's probably why babies learn to talk, so they can tell grown ups to cut it out.",Joyful
Okay.,Neutral
"Did you ever, uh, like, think about the future?",Scared
Sure I do.,Peaceful
"Yeah, am I in it?",Scared
"Honey, you are in it.",Peaceful
"Oh God, you are about to get sooo lucky.",Joyful
"Oh, yeah!",Joyful
Keep talkin'.,Joyful
"Well, uh, sometimes I think about selling my practice, we could move to France, make French toast.",Joyful
"Okay, so, uh, we're in France, we're making the toast. Do you see a little bassinet in the corner?",Scared
Like a hound?,Joyful
"Not a basset, a bassinet.",Mad
You really need the bassinet?,Scared
"Well, I just think the baby would keep falling off the dog. Do you, uh, do you , do you not see kids in our future.",Scared
Uh-huh.,Sad
"Look I want you, now.",Peaceful
"That's Great. You know we don't need to talk about this now. Really, I mean this is, is so way, way, way, in the future, I'm talkin' hovercrafts and apes taking over the planet.",Scared
"Hey, there.",Neutral
Hi.,Neutral
Are you all right?,Peaceful
"God I know, you're right.",Scared
"All rightie, everybody look at me. Good. All right, its time. Bridesmaids and ushers let's see two lines, thank you.",Powerful
"Okay, I'll see you after the thing.",Neutral
"Okay, good luck",Joyful
"Thank you, Okay, Okay.",Neutral
"Angela? Joey Tribiani. Listen, what are ya doing tonight. I know your seeing that guy I was thinking maybe you could bring him.....Hello? Hello?",Powerful
"Aren't you gonna answer her, that's like the tenth bing-bong message she sent. She wants to know what's wrong?",Powerful
What's wrong? What's wrong? You're married that's what's wrong.,Mad
"Oh, my.",Powerful
What?,Mad
She wants to meet you in person.,Peaceful
"Hey, look, Phoebe I wanted to meet her in person too, okay, but she's married, she has a husband.",Sad
"Okay, I'll do it!",Powerful
"Okay, one more, please. Come on, I'm gonna get it in this time, I will.",Joyful
"Okay, last chance. Again, I'm sorry.",Neutral
"Yo! Can I have your attention, please, Best Man, making a toast here. Thank you. I remember when Barry got home from his first date with Rachel...",Joyful
What?!,Scared
"What, you hired the same band I can't use the same speech. Thank you, thank you very much. Anyway, I wish you both a wonderful life together. And Rachel...",Neutral
What.,Neutral
"Most of you don't know me, I'm Rachel's boyfriend.",Neutral
Oh dear God.,Scared
"Ross, uh and uh, I'd just like to say that it did take a lot of courage for Rachel to come here tonight. And, uh, for the record she did not run out on Barry because she had syphilis. What are you doing I'm serious. Uh, the reason she walked out on, on Barry is simply that she didn't love him, which incidentally worked out pretty well for me Cheers.",Joyful
She you in the parking lot.,Mad
"No, Rach!",Scared
And once again she is out of here. Okay who had 9:45? Um?,Neutral
"Marenge,",Neutral
"""...marenge, thank you honey, and do the cha-cha. And while she like to be a star, Tony always tended bar. At the, wait, wait, everybody..""",Joyful
Everybody!,Joyful
"Okay, I'll do it.",Neutral
You'll do what?,Scared
If kids is what I takes to be with you then kids it is.,Powerful
Oh my God!,Joyful
Really?,Joyful
"Yeah, if I have to. Monica, I don't wanna lose you, so if I have to do it all over again, then I will.",Peaceful
"You're the most wonderful man. And if you hadn't of said 'if I have to' like seventeen times, then I'd be saying 'okay, let's do it.'",Mad
But you're not.,Scared
"Oh my God, I can't believe what I'm getting ready to say. I wanna have a baby, but I don't wanna have one with someone who doesn't really wanna have one.",Mad
God. I love you.,Peaceful
I know you do. Me too. So what now?,Peaceful
I guess we just keep dancing.,Peaceful
"Where is she, Where is she? Oh, hey, I have a question, where is she?",Scared
"Chandler, relax, Chandler, she'll be here.",Peaceful
"Ooh, oh, oh, that's her.",Joyful
"Yeah, 'cause life's just that kind.",Neutral
Oh my God!,Joyful
OH.....MY.....GAWD!!,Joyful
OH.....MY.....GOD!!,Joyful
"All right they got water, orange juice, and what looks like cider.",Neutral
Taste it.,Joyful
"Yep, it's fat. I drank fat!",Mad
"Yeah, I know, I did that two minutes ago.",Joyful
Hey!,Joyful
"Hey, mister tux!",Joyful
Why aren't you guys dressed?,Scared
We have a half hour.,Mad
"Relax Ross, we'll be ready. It only takes us two minutes to get dressed.",Powerful
Okay.,Neutral
"Hey-hey! Oh, look at you, all sexy.",Joyful
Really.,Joyful
"Ooooh! Wow!! Oh, hi.",Joyful
Hi.,Peaceful
How come you didn't come over earlier?,Neutral
"'Cause, I'm a stupid, stupid man.",Mad
"Hey, Ross, want some cider?",Mad
"No. So, um, let's see your pretty close, huh. Make-up's on, hair's done.",Neutral
"Yeah, I just have to get dressed.",Neutral
Yay! And that takes what? Just six or seven minutes.,Joyful
"Yeah! Once, I figure out what I'm wearing.",Powerful
Glass of fat?,Neutral
"Dr. Geller, Sherman Whitfield, London Institute.",Neutral
Wow! What a pleasure.,Joyful
Excuse me. Hi.,Neutral
Yes?,Neutral
"Well, your kind of sitting in my seat.",Mad
"What do you mean, your seat?",Powerful
"I mean, I was sitting there.",Mad
"But, you got up!",Mad
"But, I never left the room!",Mad
"But, you left the chair area.",Mad
"All right, that's it, give me your underwear.",Mad
"Hey, look at me. I'm making jam, been at it since 4 o'clock this morning.",Joyful
Where'd you get fruit at four in the morning?,Neutral
Went down to the docks. Bet ya didn't know you could get it wholesale.,Joyful
I didn't know there were docks.,Neutral
Hey.,Peaceful
Hey.,Neutral
"Aww, is it broken?",Scared
"No, I gotta wear this thing for a couple weeks.",Sad
Did you tell the doctor you did it jumping up and down on your bed?,Joyful
Nooo. I had a story all worked out but then Chandler sold me out.,Mad
"Well, I'm sorry Joe. I didn't think the doctor was gonna buy that it just *fell* out of the socket.",Mad
What is this? Fruit?,Neutral
Monica's making jam.,Joyful
"Whoa, jam! I love jam! Hey, how come we never have jam at our place?",Joyful
Because the kids need new shoes.,Mad
"I'm going into business people. I'm sick and tired of being depressed about Richard. I needed a plan, a plan to get over my man. What's the opposite of man? Jam. Oh Joey don't! It's way to hot.",Joyful
This will just be my batch.,Peaceful
"You wouldn't return my calls, you sent back my letters....",Sad
What?,Neutral
"One more chance Ursula, please?",Sad
"Oooh. Oh, well this is awkward.",Neutral
Wh..,Scared
"Um, yeah, you want Ursula, and I'm Phoebe. Twin sisters! Seriously.",Neutral
"Oh, that's great. I'm stalking the wrong woman. I am such a dingus!",Powerful
"Oh, you're not a dingus.",Neutral
"I just, I want you to know I didn't used to be like this. Before I meet your sister I was like this normal guy who sold beepers and cellular phones.",Sad
"Well, I mean look it's, it's not your fault, you know. I mean this is just what, what she does to guys, okay.",Neutral
Well thanks.,Neutral
"Wait, you know what, I got a little story. When I was in Junior High School I went through this period where I thought I was a witch. And there was this guidance counselor who said something to me, that I think will help you a lot. He said okay, 'you're not a witch you're just an average student.' See what I'm saying?",Peaceful
Not really.,Scared
"Wait. You're right. I know you're right. And, thanks for being so nice. Here",Peaceful
"Oh, thanks a lot. Do you want to get a cup of coffee?",Neutral
"Yeah, okay.",Joyful
"Okay. Okay, you don't have to walk behind me any more.",Neutral
Sorry.,Sad
Here's my binoculars.,Neutral
"Oh, great. Great. You're doing great, you know real strong. Going strong. Keep going.",Powerful
"These are my night vision goggles. This is the book I pretend to read when I'm watching her in the park. And these are Mad Lips, they're just for fun.",Joyful
"Oh, yeah. What's this?",Neutral
"Oh, this is log I kept, recording her every movement. Do you wanna here something from it?",Sad
"Um, not even a little bit.",Sad
It's about you.,Scared
"Oh, okay then.",Powerful
"I met Phoebe today. She was really nice to me eventhough I'm such a loser. And, then when I was walking home I thought about her a lot, it was weird, but kinda cool.",Joyful
Good. So what were you thinking?,Peaceful
I was thinking what it would be like to kiss you.,Joyful
Really?,Joyful
No.,Mad
Oh.,Sad
"See that's just something I said now, so that maybe I could kiss you.",Powerful
"Oh, okay.",Joyful
"Oh my God, what happened?",Scared
"Oh. God, crazy Chandler. He spun me...off...the...bed!",Scared
Wow! Spinning that sounds like fun.,Joyful
"Oh, I wish. No, you know he was just trying Ross's Hug and Roll thing.",Joyful
Ross's what?,Neutral
"You know what, where he hugs you and kinda rolls you away and... Oh... my....God.",Joyful
Phoebe?,Scared
Yes? Yes! Oh.,Joyful
What are you doing?,Neutral
Were you following me?,Scared
"Um, perhaps. Yes! Yes, I'm sorry, I'm sorry. I was just afraid that you were still hung up on my sister.",Joyful
So you spied on me. I can't believe you don't trust me.,Scared
"Oh well, what do you know, there goes my identical twin sister. Just walkin' along looking like me. What, is this just like a freakish coincidence, or did you know she takes this train?",Neutral
"I'm sorry. I'm sorry. I tried to stop, but I couldn't. I'm so pathetic.",Sad
"Uh-huh, I don't know.",Scared
"Yeah, just, okay, look I'm going. Um, come on. Op, op, behind the pillar, which way am I gonna go?",Neutral
"I called the sperm bank today, they haven't sold a single unit of Tribianni. Nobody wants my product. I mean, I-I-I don't get it Maybe if they met me in person.",Sad
"Honey, you got a little thing on your...",Neutral
Did I get it?,Mad
Yeah.,Neutral
Hello.,Joyful
Hello.,Neutral
"Hey. Uh, Chan, can I uh, can I talk to you for a second?",Scared
Sure. What's up?,Neutral
"Just one uh, one additional relationship thought. Probably something your already familiar with, uh, women talk!",Mad
"Welcome everybody, welcome to Amazing Discoveries!",Joyful
"Oh, oh! It's on again!",Joyful
"You guys, can we please not watch this all right.",Neutral
Shhhh!,Sad
"Oh, you said it Mike. Aw! There's got to be a better way!",Joyful
And there is Kevin.,Neutral
Can we please turn this off?,Scared
"Noo way, Kevin.",Scared
Are you intrigued?,Neutral
You're flingin'-flangin' right I am!,Neutral
"Wow, it is easy. Now, I can have milk everyday.",Joyful
"Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents.",Neutral
"Come on baby, come on!",Joyful
"'Hi, I have Phoebe Buffay returning a page. Okay, well, um, she's in her car I'll have to patch you through.'",Neutral
Very nice touch.,Joyful
Unbelievable.,Joyful
Thank you so much.,Joyful
"It was really fun, I mean I've never talked on a car phone before.",Joyful
"Oh, I don't know. I mean it was fun one time.",Joyful
"Come on, please, it'll be just this one more, well actually it's two.",Neutral
Two?,Neutral
"Yeah! Well, well really it's three. Please. You're so good at it. I love you.",Joyful
"Okay, I'll do it, but just these three, right",Scared
"Nooo, four.",Scared
"So, how come you wanted to eat in tonight?",Neutral
"'Cause, I wanted to uh, give you this.",Peaceful
"Ohhh, are you a puppy! Contact paper! I never really know what to say when someone you're sleeping with gives you contact paper.",Joyful
"Well, wait there's, there's more. See the contact paper is to go into your brand new drawer. See, the drawer actually goes in my dresser.",Peaceful
"Oh, you didn't have to do this.",Neutral
"Yes, I did. Yes, I did. Because, you're my girlfriend, and that's what girlfriends should, should get.",Joyful
"Well, I gotta buy a vowel. Because, oh my Gawd! Who, would've thought that someday, Chandler Bing would buy me a drawer.",Joyful
"Well, not me. But that's what's happened, and, ah, and, and there's more. We should take a trip.",Joyful
We should?,Neutral
"Yep, we're a couple and that's what couples do. And, I wanna meet your parents. We should take a trip with your parents!",Joyful
"I don't think we need to, because you're tripping me out right now! Are you okay?",Joyful
You probably want us to move in together?,Neutral
It doesn't scare me!,Joyful
"Honey, this will help.",Neutral
Uff.,Neutral
That is never good.,Sad
Then I got all needy and clingy.,Neutral
She said she'd call me.,Neutral
Ohh!,Neutral
Oh God.,Neutral
Welcome to our side of the tunnel.,Peaceful
This ice cream tastes like crap by the way.,Mad
"Yeah, you do.",Neutral
"So, you don't think I'm terminal?",Joyful
"Well, no, not at all, you're not terminal, you just, you just need some damage control.",Peaceful
"Okay, okay. So, should I call her?",Joyful
Nooo!,Powerful
She has to know that your not ready.,Peaceful
"Right. So, what you have to do is, you have to accidentally run into her on purpose. And then act aloof.",Neutral
"So I'm not, not gonna lose her?",Joyful
"Oooh, honey, you're not a total loser.",Neutral
"I said, 'So I'm not gonna lose her?'",Neutral
Oh.,Neutral
"Guess who's here. It's the toughest guy in toy land, Ben. 'A real American hero. I'm G.I. Joe!' Drop the Barbi, drop the Barbi.",Joyful
G.I. Joe? Do you really think he's gonna fall for that?,Joyful
G. I. Joe! Cool! Can I play?,Joyful
